time,T_out,G,T_in
0,14.5,0,14.7
0.5,14,0,14.6
1,13.5,0,14.2
1.5,13.1,0,14
2,13,0,13.6
2.5,12.4,0,13.2
3,11.8,0,12.7
3.5,11.5,0,12.2
4,11,0,11.6
4.5,10.9,0,11.3
5,10.8,0,11.2
5.5,10.7,0,11.1
6,10.6,0,10.9
6.5,10.4,50,10.6
7,10.4,100,10.5
7.5,10.5,200,11.2
8,12.8,310,13.3
8.5,14.8,380,16.2
9,16.3,460,19.5
9.5,18.1,590,23.7
10,19.8,650,28
10.5,21.4,780,31.6
11,22.6,790,35.5
11.5,23.2,810,38.4
12,24.2,880,41.3
12.5,24.5,960,42.9
13,24.8,900,43.7
13.5,24.9,830,43.3
14,24.6,790,43.1
14.5,24.6,730,42.7
15,24.2,640,41.8
15.5,23.4,520,39
16,22.8,450,37
16.5,22.2,300,34.1
17,21.3,220,31.3
17.5,20.2,70,27.5
18,18.8,10,23.8
18.5,17.6,0,21.2
19,16.5,0,19.2
19.5,15.6,0,17.8
20,14.9,0,16.6
20.5,14.4,0,15.5
21,13.8,0,14.8
21.5,13.3,0,14.1
22,12.8,0,13.5
22.5,12.4,0,13.2
23,12.1,0,12.5
23.5,11.8,0,12.2
24,11.5,0,12.1
